ticker,percentage_or_shares
SPAXX,303.72
SPY,20
SPRXX,26119.58
BRKB,150
SBLK,50.647
DAL,200
OHI,319.981
DIA,40
SPAXX,3881.21
FDRXX,7421.32
USMV,171.4
FLTMX,2026.149
IJH,220.86
FSAJX,2567.12
IJR,115.89
IMTM,280
IQLT,347
IVLU,514
MTUM,178
VLUE,316
QUAL,253
SCHF,2596
SCHX,7926
FDRXX,105.19
ORCL,0.61
ARES,0.37
MA,0.37
BLK,0.08
V,0.78
HD,0.37
TXN,0.32
UNH,0.38
AXON,0.07
WFC,0.52
SW,0.63
DHR,0.3
UBER,0.49
ADBE,0.27
XYZ,0.68
FISV,0.46
ABT,0.56
PODD,0.12
DIS,0.84
ANET,0.2
QCOM,0.26
MCO,0.07
ISRG,0.15
AMZN,4.49
APP,0.14
CHTR,0.13
SYK,0.12
CAG,1.42
BAX,0.77
MDLZ,0.52
HON,0.12
ELV,0.06
HUBS,0.09
IQV,0.16
CDNS,0.1
LHX,0.08
MDT,0.35
GPN,0.32
RBLX,0.29
FIS,0.58
NKE,0.23
TYL,0.08
CAT,0.1
GS,0.12
RMD,0.08
CCI,0.23
TTWO,0.08
ARE,0.4
ROP,0.08
EXE,0.27
CI,0.25
DPZ,0.04
BAC,2.81
KDP,1.18
TEAM,0.42
LNG,0.13
ES,0.07
DOCU,0.65
TW,0.24
PEG,0.2
AMT,0.24
FLUT,0.28
NOW,0.88
A,0.28
PG,0.65
FTNT,0.37
MOH,0.1
TFC,0.31
CMG,0.89
URI,0.02
EW,0.31
CLX,0.19
OKE,0.38
INTU,0.18
DXCM,0.37
SNOW,0.14
MTD,0.02
CVS,0.38
KVUE,1.62
CVNA,0.06
PCG,0.9
DKNG,1.24
YUM,0.1
DLR,0.11
UAL,0.17
LIN,0.07
DE,0.06
ALNY,0.05
EQT,0.24
VST,0.17
CCL,0.65
LUV,0.44
CTRA,0.55
O,0.28
AXP,0.13
TTD,1.24
ABNB,0.27
MCHP,0.26
UPS,0.39
CPAY,0.11
ULTA,0.03
D,0.45
KMX,0.59
TMUS,0.17
EA,0.09
COST,0.09
DAL,0.31
T,3.01
KMI,0.79
HST,1.33
ALGN,0.18
BRKB,0.65
PLD,0.25
EXPE,0.08
EIX,0.26
LEN,0.99
TMO,0.18
NOC,0.06
NRG,0.15
EQIX,0.04
HOOD,0.24
EL,0.2
JCI,0.14
JBHT,0.09
ETN,0.12
SCHW,0.55
WPC,0.39
DDOG,0.47
CAH,0.1
STZ,0.37
MS,0.46
C,0.62
DELL,0.13
SO,0.48
NSC,0.12
ILMN,0.28
PFE,4.09
SRE,0.41
PSX,0.18
REGN,0.05
DTE,0.34
VLO,0.1
SLB,0.94
CSCO,0.99
ADI,0.09
BA,0.46
LMT,0.12
NET,0.11
FANG,0.23
IBM,0.45
OXY,0.64
INSM,0.17
MCD,0.33
CRWD,0.14
BMY,0.93
SBUX,0.8
ED,0.5
MCK,0.04
NFLX,1.9
CEG,0.2
PM,0.55
FDX,0.1
COP,0.48
KLAC,0.02
DUK,0.58
HAL,1.21
DVN,1.15
CSX,1.39
IDXX,0.1
VZ,1.56
LENB,1.21
GRAL,0.74
AEP,0.48
AMD,0.39
CMCSA,4.23
HCA,0.1
LYB,0.72
MPC,0.24
JPM,1.21
NEE,1
VRT,0.14
RTX,0.54
GILD,0.47
PEP,0.93
MU,0.41
MRK,0.96
ABBV,0.95
KO,2.46
NEM,0.5
GE,0.41
INTC,1.6
WBD,2.38
GEV,0.09
AMGN,0.43
EXPD,1.17
LLY,0.39
XOM,1.52
PLTR,1.03
DHI,1.64
EMR,2.38
TSLA,1.36
WRB,4.35
LDOS,1.66
JNJ,1.44
RS,1.37
WAB,1
IRM,3.15
PCAR,4.1
LRCX,1.68
GOOG,2.14
AMAT,1.16
AFL,5.77
APH,3.59
HIG,5.34
GOOGL,2.74
WMT,6.87
NVDA,11.93
MSFT,4
META,1.58
AVGO,3.06
AAPL,8.45
FDRXX,984.26
WFC,23.75
SNPS,2.15
MRSH,5.32
MA,1.93
CDNS,2.76
ROL,8.25
GEN,20.33
VMC,1.42
V,5.12
WCN,3.72
IBKR,4.21
DEO,2.39
PONY,10.98
CRH,2.33
LPLA,1.42
AMD,2.89
MCO,0.6
SAP,1.17
BAX,10.53
GDDY,2.66
ADBE,1.43
RBLX,2.15
EFX,0.75
HEIA,1.32
LULU,1.7
BRKR,4.62
BRO,2.51
CTAS,1.25
APP,0.47
GPN,2.47
BLK,0.21
STZ,1.74
Z,3
CLS,0.57
VST,2.28
COF,1.67
UNH,1.17
HRB,5.14
PNR,2.49
AFRM,3.92
MDLZ,8.52
ALK,3.81
CI,3.25
HIG,2.69
TDG,0.27
AMT,0.89
SHOP,1.31
DIS,4.42
