ticker,percentage_or_shares
SPAXX,384.48
DIA,40
OHI,319.981
DAL,200
SBLK,50.647
BRKB,150
SPRXX,26119.58
SPY,20
SPAXX,3881.21
FDRXX,7890.72
IVLU,514
VLUE,316
SCHX,7926
QUAL,253
MTUM,178
SCHF,2596
IMTM,280
IQLT,347
IJR,115.89
IJH,220.86
FSAJX,2567.12
FLTMX,2026.149
USMV,171.4
FDRXX,114.90
AVGO,3.06
LRCX,1.68
AMAT,1.16
APH,3.59
GRAL,0.74
WAB,1
VRT,0.14
NEM,0.5
WBD,2.38
META,1.58
GEV,0.09
WMT,6.87
KLAC,0.02
IRM,3.15
INSM,0.17
INTC,1.6
HIG,5.34
AAPL,8.45
AFL,5.77
DELL,0.13
VLO,0.1
NET,0.11
HAL,1.21
MPC,0.24
LYB,0.72
PLTR,1.03
PCAR,4.1
JNJ,1.44
FDX,0.1
GOOG,2.14
GOOGL,2.74
DHI,1.64
ADI,0.09
OXY,0.64
DAL,0.31
RS,1.37
JBHT,0.09
DVN,1.15
LDOS,1.66
WRB,4.35
PSX,0.18
SLB,0.94
JCI,0.14
MSFT,4
FANG,0.23
GILD,0.47
HCA,0.1
MRK,0.96
COP,0.48
EXPE,0.08
AMD,0.39
CAH,0.1
HOOD,0.24
ILMN,0.28
MCK,0.04
CSX,1.39
AEP,0.48
EA,0.09
XOM,1.52
EMR,2.38
CTRA,0.55
EXPD,1.17
EIX,0.26
MCHP,0.26
IDXX,0.1
GE,0.41
REGN,0.05
AMGN,0.43
CCL,0.65
HST,1.33
EQT,0.24
UAL,0.17
ULTA,0.03
ALGN,0.18
SRE,0.41
ALNY,0.05
NEE,1
BMY,0.93
LUV,0.44
NRG,0.15
KMI,0.79
NSC,0.12
KMX,0.59
NVDA,11.93
ED,0.5
CEG,0.2
VZ,1.56
WPC,0.39
RTX,0.54
DUK,0.58
C,0.62
CSCO,0.99
EL,0.2
DTE,0.34
TSLA,1.36
MTD,0.02
KO,2.46
ETN,0.12
PLD,0.25
MS,0.46
ABNB,0.27
LNG,0.13
OKE,0.38
EQIX,0.04
O,0.28
CVNA,0.06
YUM,0.1
SCHW,0.55
LENB,1.21
TFC,0.31
SO,0.48
STZ,0.37
ABBV,0.95
PEP,0.93
URI,0.02
CMCSA,4.23
PCG,0.9
D,0.45
DLR,0.11
DDOG,0.47
TMO,0.18
PFE,4.09
DXCM,0.37
UPS,0.39
LMT,0.12
TMUS,0.17
T,3.01
CRWD,0.14
JPM,1.21
DE,0.06
AXP,0.13
SBUX,0.8
VST,0.17
LIN,0.07
KVUE,1.62
IBM,0.45
EW,0.31
PM,0.55
NOC,0.06
A,0.28
MCD,0.33
NFLX,1.9
CPAY,0.11
LLY,0.39
CMG,0.89
GS,0.12
MOH,0.1
ES,0.07
