ticker,percentage_or_shares
SPAXX,384.48
DIA,40
OHI,319.981
DAL,200
SBLK,50.647
BRKB,150
SPRXX,26119.58
SPY,20
SPAXX,3881.21
FDRXX,8783.46
FXAIX,178.657
SPDW,116.053
SPEM,105.943
SPRXX,2689.65
SPAXX,442.98
SPY,73.42
REZ,665.819
IGIB,583.512
HYGH,361.601
JPRE,918.58
SPAXX,3014.62
MSFT,19
BRKB,15
QUAL,37
VLUE,48
MTUM,33
IVLU,129
IMTM,47
IQLT,48
AVEM,29
AVSC,38
SHM,244
MUB,29
SPAXX,1963.45
MU,7.21
GEV,2.34
KLAC,0.91
TSM,5.78
ASML,1.26
AVGO,10.55
APH,9.53
IMO,9.7
GOOGL,20.48
ANET,5
GOOG,2.55
RYCEY,61.57
MFG,79
SAN,93.4
NVDA,56.59
UCBJY,8.2
CEG,1.67
GE,10.43
NTRS,6
HSBC,10.76
SMFG,27.63
NTR,7.93
HTHIY,30.94
TSLA,1.35
MAR,1.72
FZAEX,107.881
CSCO,14
UNCRY,28
VLUE,130.28
ETN,1.94
LYG,106.28
HLT,3
SHEL,21.47
USB,13.11
AVEM,177
BA,5.32
BAC,35.33
IVLU,312
SCHA,386
JPM,9.83
DHLGY,10.59
DE,1.64
PNC,4
MTB,3
URI,0.85
AAPL,14.14
VB,27
SCHF,2069.98
WFC,30.7
DFAC,1200
TT,1.47
RNMBY,1
BNPQY,10.18
VOO,126
IMTM,218.44
SCHX,1020
VWO,82
SCHE,235
AMZN,19.26
SIEGY,9.28
IQLT,218
IR,6.67
CDNS,1.78
TRV,5
BLK,1
VMC,2
SPSM,843.539
CFRUY,24.05
ALIZY,17
DIS,9.41
SPDW,371.931
SPMD,1522.915
ORCL,5.47
META,5.67
SPY,673.924
HEIA,3
SCHH,473.92
SPEM,841.031
MSFT,14.11
SPAXX,351.24
FXAIX,29.367
FSPSX,59.351
FPADX,48.613
SCHM,51
SCHA,32
VGSH,9
BNDX,16
AGG,14
